数据集名称,结构,类别,学习方式,任务,规模,领域,适用目的,适用模型,AI描述,人工描述
鸢尾花数据集（Iris Dataset）,结构化,表格,监督学习,多分类,150个样本，每个样本包含4个特征,机器学习、统计学、生物学,机器学习分类算法实验，数据分析和可视化练习，人工智能模型训练和测试，新手入门学习材料，统计学习和特征分析，教学与入门实践,"XGBoost， 支持向量机（SVM）， 随机森林（Random Forest）, 逻辑回归（Logistic Regression），决策树（Decision Tree），",鸢尾花数据集是一个经典的分类问题数据集，适用于训练机器学习模型，尤其是用于入门级的监督学习任务。数据集本身规模小，非常适合用来测试分类算法和评估模型性能。,鸢尾花数据集（iris.txt）是一个广泛应用于人工智能、大数据分析以及机器学习领域的经典数据集。该数据集由著名科学家Fisher收集整理，包含了150个样本数据，分为3类，每类50个数据点。每个数据点包含四个属性，分别是花萼长度（Sepal.Length）、花萼宽度（Sepal.Width）、花瓣长度（Petal.Length）和花瓣宽度（Petal.Width），单位均为厘米。
乳腺癌数据集（Breast Cancer Dataset）,结构化,表格,监督学习,二分类,数据集包含569个样本，每个样本有30个特征,医疗、机器学习、数据挖掘,"机器学习分类算法实验、数据分析和可视化练习、人工智能模型训练和测试、新手入门学习材料、模型评估和比较
",决策树（Decision Tree）、支持向量机（SVM）、K近邻（KNN）、逻辑回归（Logistic Regression）、随机森林（Random Forest）,乳腺癌数据集源自斯洛文尼亚卢布尔雅那大学医学中心肿瘤研究所，由Matjaz Zwitter和Milan Soklic两位医生创建。该数据集包含569个样本，每个样本有30个特征，主要描述细胞核的各种属性，如半径、纹理、对称性等。每个样本都有一个二元标签，表示该样本的乳腺肿瘤是良性（benign）还是恶性（malignant）。该数据集广泛用于机器学习分类算法的实验和模型评估。,
手写数字数据集（MNIST Dataset）,非结构化,图片（图像）,监督学习,多分类,"数据集包含70,000张28×28像素的灰度图像，其中60,000张用于训练，10,000张用于测试。",机器学习、计算机视觉、人工智能,机器学习分类算法实验、数据分析和可视化练习、人工智能模型训练和测试、新手入门学习材料、模型评估和比较,卷积神经网络（Convolutional Neural Network，CNN）,手写数字数据集（MNIST）由美国国家标准与技术研究所（NIST）于1994年创建，包含0到9的手写数字图像。每张图像为28×28像素的灰度图，已进行预处理和格式化，适合用于训练和测试各种图像处理系统。,
Fashion MNIST,非结构化,图片（图像）,监督学习,多分类,"包含 70,000 张 28x28 像素的灰度图像，其中训练集有 60,000 张，测试集有 10,000 张。",计算机视觉、机器学习、深度学习、时尚、人工智能,机器学习分类算法实验、数据分析和可视化练习、人工智能模型训练和测试、新手入门学习材料、模型性能评估,"卷积神经网络（CNN）、全连接神经网络（FCN）、支持向量机（SVM）、k-近邻算法（k-NN）、决策树（Decision Tree）
","Fashion MNIST 数据集由 Zalando Research 于 2017 年创建，包含 70,000 张 28x28 像素的灰度图像，涵盖 10 种不同类别的服饰，如 T 恤、裤子、连衣裙等。该数据集旨在替代原始 MNIST 数据集，提供更具挑战性的图像分类任务。每个类别包含 7,000 张图像，训练集和测试集的划分与原始 MNIST 数据集一致。Fashion MNIST 数据集广泛用于机器学习和深度学习模型的训练和评估，特别是在图像分类任务中。由于其标准化的格式和广泛的应用，许多机器学习库已将其作为内置数据集，方便用户直接使用。 ",
电离层数据集（Ionosphere Dataset）,结构化,表格,监督学习,二分类,包含 351 个样本，每个样本有 34 个特征,机器学习、模式识别、雷达信号处理、空间科学、地球物理学,机器学习分类算法实验、数据分析和可视化练习、人工智能模型训练和测试、新手入门学习材料、模型性能评估,支持向量机（SVM）、决策树（Decision Tree）、k-近邻算法（k-NN）、逻辑回归（Logistic Regression）、随机森林（Random Forest）,电离层数据集（Ionosphere Dataset）源自 UCI 机器学习库，旨在通过分析雷达回波信号，判断电离层中是否存在自由电子的特殊结构。 该数据集包含 351 个样本，每个样本有 34 个连续特征，表示从高频天线接收到的雷达回波信号的不同参数。 目标变量为二分类标签，'g' 表示存在特殊结构，'b' 表示不存在。由于其结构化的表格形式和明确的二分类任务，电离层数据集广泛用于机器学习分类算法的实验和评估。研究者们利用该数据集测试和比较不同分类模型的性能，如支持向量机（SVM）、决策树（Decision Tree）和 k-近邻算法（k-NN）等。此外，电离层数据集也被用于数据分析和可视化练习，帮助新手学习机器学习模型的训练和测试过程。该数据集的经典性和广泛应用，使其成为评估新算法和模型性能的重要工具。通过对该数据集的研究，学者们深入探讨了高维数据的处理方法和分类算法的优化策略。电离层数据集不仅在机器学习领域具有重要地位，也为雷达信号处理和空间科学研究提供了宝贵的数据支持。,
玻璃识别数据集（Glass Identification Dataset）,结构化,表格,监督学习,多分类,数据集包含214个样本，每个样本有9个特征属性,材料科学、机器学习、数据挖掘、化学工程、法医学,机器学习分类算法实验、数据分析和可视化练习、人工智能模型训练和测试、新手入门学习材料、模式识别研究,支持向量机（SVM）、K-近邻算法（KNN）、决策树（Decision Tree）、随机森林（Random Forest）,玻璃识别数据集源自UCI机器学习库，由Vina Spiehler博士于1987年创建，旨在通过化学成分分析来区分不同类型的玻璃。 该数据集包含214个样本，每个样本有9个特征属性，包括折射率、钠、镁、铝、硅、钾、钙、钡和铁的含量，以及一个目标变量，表示玻璃的类型，共有7种类型。数据集的主要任务是多分类，即根据玻璃的化学成分将其分类为不同类型，如建筑窗户、车辆窗户、容器、餐具和头灯等。该数据集广泛应用于机器学习分类算法的实验和验证，适用于数据分析和可视化练习，以及人工智能模型的训练和测试。在模型选择方面，支持向量机（SVM）、K-近邻算法（KNN）、决策树（Decision Tree）、随机森林（Random Forest）等模型在该数据集上表现良好。需要注意的是，数据集中的类别分布存在不平衡现象，某些类别的样本数量较少，这可能影响模型的训练效果。因此，在使用该数据集时，可能需要采取适当的预处理和调整策略，以提高模型的性能和泛化能力。,
心脏病数据集（Heart Disease Dataset）,结构化,表格,监督学习,二分类,数据集包含303个样本，每个样本有14个特征。,医疗、机器学习、数据挖掘、人工智能、统计学、健康信息学、临床研究、公共卫生,机器学习分类算法实验、数据分析和可视化练习、人工智能模型训练和测试、特征选择研究、模型性能评估,逻辑回归（Logistic Regression）、支持向量机（Support Vector Machine）、决策树（Decision Tree）、随机森林（Random Forest）、K近邻算法（K-Nearest Neighbors）,心脏病数据集（Heart Disease Dataset）是一个经典的结构化数据集，广泛用于机器学习和统计分析，特别是在预测心脏病方面。 该数据集包含303个样本，每个样本有14个特征，如年龄、性别、胸痛类型、血压、胆固醇水平等，以及一个目标变量，表示患者是否患有心脏病。 数据集的主要任务是二分类，即预测患者是否患有心脏病。 由于其丰富的特征和明确的分类标签，心脏病数据集成为机器学习分类算法实验、数据分析和可视化练习、人工智能模型训练和测试等多种目的的理想选择。 在使用该数据集时，研究人员通常采用逻辑回归、支持向量机、决策树、随机森林和K近邻算法等模型进行训练和评估。 心脏病数据集的广泛应用，推动了心脏病预测模型的发展，为临床决策提供了科学依据。,
糖尿病数据集（Diabetes Dataset）,结构化,表格,监督学习,二分类,"样本数量从442个到超过70,000个不等，具体取决于数据集的来源和版本。",医疗、机器学习、数据分析、人工智能、公共卫生、统计学、健康信息学、数据挖掘,机器学习分类算法实验、数据分析和可视化练习、人工智能模型训练和测试、医学研究、健康预测模型开发、疾病风险评估、统计分析、健康管理系统开发,逻辑回归（Logistic Regression）、支持向量机（Support Vector Machine）、决策树（Decision Tree）、随机森林（Random Forest）、K近邻算法（K-Nearest Neighbors）、神经网络（Neural Networks）、梯度提升机（Gradient Boosting Machines）、XGBoost（Extreme Gradient Boosting）,"糖尿病数据集是一个广泛用于机器学习和统计分析的结构化数据集，旨在预测患者是否患有糖尿病。 该数据集包含多个特征，如年龄、性别、体质指数（BMI）、平均血压以及六种血清测量值。 目标变量通常是二分类的，表示患者是否患有糖尿病。 数据集的规模从442个样本到超过70,000个样本不等，具体取决于数据集的来源和版本。 该数据集广泛应用于机器学习分类算法实验、数据分析和可视化练习、人工智能模型训练和测试等领域。 适用于多种机器学习模型，如逻辑回归、支持向量机、决策树、随机森林、K近邻算法、神经网络、梯度提升机和XGBoost等。 通过对该数据集的分析，研究人员可以深入了解糖尿病的预测因素，开发有效的预测模型，促进糖尿病的早期诊断和干预。",
汽车评估数据集（Car Evaluation Dataset）,结构化,表格,监督学习,多分类,包含1728个样本，每个样本有6个特征和1个目标变量。,机器学习、数据挖掘、模式识别、人工智能、统计学、汽车工程、消费者行为分析、决策支持系统,机器学习分类算法实验、数据分析和可视化练习、人工智能模型训练和测试、特征工程研究、模型评估和比较、决策树算法研究、朴素贝叶斯算法研究、模型泛化能力测试,决策树（Decision Tree）、朴素贝叶斯（Naive Bayes）、支持向量机（Support Vector Machine）、随机森林（Random Forest）、k近邻（k-Nearest Neighbors）、逻辑回归（Logistic Regression）、神经网络（Neural Networks）、梯度提升机（Gradient Boosting Machine）,汽车评估数据集（Car Evaluation Dataset）是一个经典的机器学习数据集，广泛用于分类算法的实验和模型训练。该数据集包含1728个样本，每个样本有6个特征和1个目标变量，目标变量为汽车的评估等级，包括“不可接受”、“一般”、“好”和“很好”四个类别。特征包括购买价格、维护成本、车门数量、乘客容量、行李厢大小和安全性等。数据集的结构化表格形式使其适用于监督学习中的多分类任务。在机器学习领域，汽车评估数据集被广泛用于分类算法的实验和模型训练，特别是在决策树、朴素贝叶斯和支持向量机等模型的研究中。此外，该数据集也用于数据分析和可视化练习、特征工程研究、模型评估和比较等目的。其在机器学习、数据挖掘、模式识别、人工智能、统计学、汽车工程、消费者行为分析和决策支持系统等领域具有重要应用价值。,
成人收入数据集（Adult Income Dataset）,结构化,表格,监督学习,二分类,"包含48,842个样本，每个样本有14个特征和1个目标变量。",机器学习、数据挖掘、社会科学、统计学、人工智能、经济学、金融学、人口学,机器学习分类算法实验、数据分析和可视化练习、人工智能模型训练和测试、特征工程研究、模型评估和比较、决策树算法研究、朴素贝叶斯算法研究、模型泛化能力测试,决策树（Decision Tree）、朴素贝叶斯（Naive Bayes）、支持向量机（Support Vector Machine）、随机森林（Random Forest）、k近邻（k-Nearest Neighbors）、逻辑回归（Logistic Regression）、神经网络（Neural Networks）、梯度提升机（Gradient Boosting Machine）,"成人收入数据集（Adult Income Dataset），也称为“人口普查收入”数据集，是一个经典的机器学习数据集，广泛用于分类算法的实验和模型训练。该数据集包含48,842个样本，每个样本有14个特征和1个目标变量，目标变量为个人年收入是否超过50,000美元。特征包括年龄、工作类型、教育程度、婚姻状况、职业、家庭关系、种族、性别、资本收益、资本损失、每周工作小时数和国籍等。数据集的结构化表格形式使其适用于监督学习中的二分类任务。在机器学习领域，成人收入数据集被广泛用于分类算法的实验和模型训练，特别是在决策树、朴素贝叶斯和支持向量机等模型的研究中。此外，该数据集也用于数据分析和可视化练习、特征工程研究、模型评估和比较等目的。其在机器学习、数据挖掘、社会科学、统计学、人工智能、经济学、金融学和人口学等领域具有重要应用价值。",
